id,sid,sx,sy,eid,ex,ey,num,time,max
747,383,118.192428,24.48524636,384,118.1918336,24.48386186,1103,45,1008
773,384,118.1918336,24.48386186,397,118.1907795,24.48161194,1019,45,856
759,390,118.1940636,24.48394469,391,118.1937282,24.48305447,408,45,554
763,391,118.1937282,24.48305447,392,118.193125,24.48200444,180,45,705
768,395,118.196897,24.48179809,354,118.19802,24.48397351,1844,45,856
839,395,118.196897,24.48179809,419,118.1956802,24.47951568,363,45,1008
770,396,118.1907993,24.48244597,382,118.1915082,24.48390213,940,45,856
772,397,118.1907795,24.48161194,384,118.1918336,24.48386186,705,45,856
808,409,118.194148,24.48017916,402,118.1925597,24.48081353,653,45,1008
838,419,118.1956802,24.47951568,395,118.196897,24.48179809,263,45,1008
836,419,118.1956802,24.47951568,409,118.194148,24.48017916,666,45,1008
337,25,118.1960842,24.51082948,26,118.1946378,24.51064543,4048,46,1512
849,25,118.1960842,24.51082948,49,118.1980189,24.51098186,1684,46,1285
1092,26,118.1946378,24.51064543,503,118.1933791,24.51140735,1520,46,504
961,49,118.1980189,24.51098186,53,118.1979515,24.51209628,1431,46,352
870,50,118.2003003,24.51108935,49,118.1980189,24.51098186,199,46,1285
983,53,118.1979515,24.51209628,54,118.1974916,24.51334934,1619,46,428
72,126,118.1952792,24.50575812,33,118.1957203,24.50713071,5079,46,2016
121,143,118.1943111,24.50197753,142,118.1958249,24.50185552,2392,46,856
149,154,118.194589,24.49968586,143,118.1943111,24.50197753,1511,46,2016
155,156,118.1994072,24.50050697,141,118.1993983,24.50203491,165,46,1008
153,156,118.1994072,24.50050697,152,118.1965815,24.5002015,706,46,1008
289,196,118.1988556,24.49614206,204,118.1992565,24.49380775,26,46,856
280,199,118.1946976,24.49528905,198,118.1951292,24.49700371,1880,46,1411
288,204,118.1992565,24.49380775,196,118.1988556,24.49614206,2007,46,856
393,243,118.1993321,24.49272,244,118.198852,24.49087384,364,46,1008
392,244,118.198852,24.49087384,243,118.1993321,24.49272,705,46,1008
